voltage_run_5_spot_3_10	absJ_run_5_spot_3_10	J_run_5_spot_3_10	current_run_5_spot_3_10	time_run_5_spot_3_10	
-5.000000E-2	5.330875E-2	-5.330875E-2	-6.698975E-7	1.005049E+2
0.000000E+0	1.420313E-4	-1.420313E-4	-1.784818E-9	1.012461E+2
0.000000E+0	1.432498E-4	-1.432498E-4	-1.800130E-9	1.016143E+2
5.000000E-2	6.267043E-2	6.267043E-2	7.875398E-7	1.027285E+2
1.000000E-1	1.377485E-1	1.377485E-1	1.730999E-6	1.038555E+2
1.500000E-1	2.172130E-1	2.172130E-1	2.729579E-6	1.042227E+2
2.000000E-1	3.062954E-1	3.062954E-1	3.849021E-6	1.045908E+2
2.500000E-1	4.054443E-1	4.054443E-1	5.094964E-6	1.049590E+2
3.000000E-1	5.178466E-1	5.178466E-1	6.507453E-6	1.053262E+2
3.500000E-1	6.425870E-1	6.425870E-1	8.074987E-6	1.056943E+2
4.000000E-1	7.892249E-1	7.892249E-1	9.917693E-6	1.060615E+2
4.500000E-1	1.006085E+0	1.006085E+0	1.264284E-5	1.071768E+2
5.000000E-1	1.204841E+0	1.204841E+0	1.514048E-5	1.075439E+2
5.000000E-1	1.240957E+0	1.240957E+0	1.559432E-5	1.079121E+2
4.500000E-1	1.066401E+0	1.066401E+0	1.340079E-5	1.082803E+2
4.000000E-1	9.107037E-1	9.107037E-1	1.144424E-5	1.086475E+2
3.500000E-1	7.508906E-1	7.508906E-1	9.435969E-6	1.093955E+2
3.000000E-1	6.177836E-1	6.177836E-1	7.763298E-6	1.097627E+2
2.500000E-1	4.965793E-1	4.965793E-1	6.240200E-6	1.101309E+2
2.000000E-1	3.807472E-1	3.807472E-1	4.784610E-6	1.104980E+2
1.500000E-1	2.770511E-1	2.770511E-1	3.481527E-6	1.108662E+2
1.000000E-1	1.777226E-1	1.777226E-1	2.233328E-6	1.112344E+2
5.000000E-2	8.679522E-2	8.679522E-2	1.090701E-6	1.116016E+2
0.000000E+0	1.561790E-4	-1.561790E-4	-1.962603E-9	1.123428E+2
-5.000000E-2	8.327122E-2	-8.327122E-2	-1.046417E-6	1.130840E+2
-1.000000E-1	1.634271E-1	-1.634271E-1	-2.053685E-6	1.134521E+2
-1.500000E-1	2.414456E-1	-2.414456E-1	-3.034095E-6	1.138203E+2
-2.000000E-1	3.155302E-1	-3.155302E-1	-3.965070E-6	1.141875E+2
-2.500000E-1	3.854806E-1	-3.854806E-1	-4.844092E-6	1.145557E+2
-3.000000E-1	4.496554E-1	-4.496554E-1	-5.650537E-6	1.149229E+2
-3.500000E-1	5.088036E-1	-5.088036E-1	-6.393814E-6	1.152910E+2
-4.000000E-1	5.638756E-1	-5.638756E-1	-7.085870E-6	1.156592E+2
-4.500000E-1	6.023446E-1	-6.023446E-1	-7.569285E-6	1.160264E+2
-5.000000E-1	6.387354E-1	-6.387354E-1	-8.026586E-6	1.163945E+2
-5.000000E-1	6.110795E-1	-6.110795E-1	-7.679052E-6	1.167617E+2
-4.500000E-1	5.280892E-1	-5.280892E-1	-6.636164E-6	1.171299E+2
-4.000000E-1	4.580436E-1	-4.580436E-1	-5.755945E-6	1.174980E+2
-3.500000E-1	3.958634E-1	-3.958634E-1	-4.974566E-6	1.178652E+2
-3.000000E-1	3.405888E-1	-3.405888E-1	-4.279965E-6	1.182334E+2
-2.500000E-1	2.848273E-1	-2.848273E-1	-3.579246E-6	1.186006E+2
-2.000000E-1	2.303709E-1	-2.303709E-1	-2.894926E-6	1.189688E+2
-1.500000E-1	1.764046E-1	-1.764046E-1	-2.216765E-6	1.193369E+2
-1.000000E-1	1.208087E-1	-1.208087E-1	-1.518127E-6	1.197041E+2
-5.000000E-2	6.457941E-2	-6.457941E-2	-8.115288E-7	1.204453E+2
0.000000E+0	1.489062E-4	-1.489062E-4	-1.871211E-9	1.211865E+2
0.000000E+0	1.535001E-4	-1.535001E-4	-1.928939E-9	1.215547E+2
5.000000E-2	7.627457E-2	7.627457E-2	9.584945E-7	1.226689E+2
1.000000E-1	1.661371E-1	1.661371E-1	2.087740E-6	1.237959E+2
1.500000E-1	2.646167E-1	2.646167E-1	3.325272E-6	1.241631E+2
2.000000E-1	3.740315E-1	3.740315E-1	4.700218E-6	1.245313E+2
2.500000E-1	4.934342E-1	4.934342E-1	6.200677E-6	1.248984E+2
3.000000E-1	6.246537E-1	6.246537E-1	7.849630E-6	1.252666E+2
3.500000E-1	7.740384E-1	7.740384E-1	9.726854E-6	1.256348E+2
4.000000E-1	9.819923E-1	9.819923E-1	1.234008E-5	1.267490E+2
4.500000E-1	1.185080E+0	1.185080E+0	1.489216E-5	1.271172E+2
5.000000E-1	1.433862E+0	1.433862E+0	1.801844E-5	1.274844E+2
5.000000E-1	1.477600E+0	1.477600E+0	1.856807E-5	1.278525E+2
4.500000E-1	1.285406E+0	1.285406E+0	1.615289E-5	1.282197E+2
4.000000E-1	1.093593E+0	1.093593E+0	1.374250E-5	1.285879E+2
3.500000E-1	9.174685E-1	9.174685E-1	1.152925E-5	1.289561E+2
3.000000E-1	7.502831E-1	7.502831E-1	9.428336E-6	1.297031E+2
2.500000E-1	6.029788E-1	6.029788E-1	7.577255E-6	1.300713E+2
2.000000E-1	4.655911E-1	4.655911E-1	5.850791E-6	1.304385E+2
1.500000E-1	3.356527E-1	3.356527E-1	4.217936E-6	1.308066E+2
1.000000E-1	2.162202E-1	2.162202E-1	2.717103E-6	1.311738E+2
5.000000E-2	1.047567E-1	1.047567E-1	1.316412E-6	1.315420E+2
0.000000E+0	1.653784E-4	-1.653784E-4	-2.078206E-9	1.322832E+2
-5.000000E-2	9.983161E-2	-9.983161E-2	-1.254521E-6	1.330244E+2
-1.000000E-1	1.953544E-1	-1.953544E-1	-2.454896E-6	1.333926E+2
-1.500000E-1	2.879741E-1	-2.879741E-1	-3.618789E-6	1.337598E+2
-2.000000E-1	3.767893E-1	-3.767893E-1	-4.734874E-6	1.341279E+2
-2.500000E-1	4.597735E-1	-4.597735E-1	-5.777684E-6	1.344951E+2
-3.000000E-1	5.347706E-1	-5.347706E-1	-6.720126E-6	1.348633E+2
-3.500000E-1	6.053703E-1	-6.053703E-1	-7.607307E-6	1.352314E+2
-4.000000E-1	6.698159E-1	-6.698159E-1	-8.417154E-6	1.355986E+2
-4.500000E-1	7.271349E-1	-7.271349E-1	-9.137447E-6	1.359668E+2
-5.000000E-1	7.745522E-1	-7.745522E-1	-9.733310E-6	1.363340E+2
-5.000000E-1	7.381828E-1	-7.381828E-1	-9.276278E-6	1.367021E+2
-4.500000E-1	6.365892E-1	-6.365892E-1	-7.999616E-6	1.370703E+2
-4.000000E-1	5.497949E-1	-5.497949E-1	-6.908926E-6	1.374375E+2
-3.500000E-1	4.745411E-1	-4.745411E-1	-5.963259E-6	1.378057E+2
-3.000000E-1	4.061203E-1	-4.061203E-1	-5.103458E-6	1.381729E+2
-2.500000E-1	3.415699E-1	-3.415699E-1	-4.292294E-6	1.385410E+2
-2.000000E-1	2.789840E-1	-2.789840E-1	-3.505817E-6	1.389092E+2
-1.500000E-1	2.151543E-1	-2.151543E-1	-2.703709E-6	1.392764E+2
-1.000000E-1	1.484551E-1	-1.484551E-1	-1.865542E-6	1.396445E+2
-5.000000E-2	7.967137E-2	-7.967137E-2	-1.001180E-6	1.403857E+2
0.000000E+0	1.642321E-4	-1.642321E-4	-2.063802E-9	1.411260E+2
0.000000E+0	1.668126E-4	-1.668126E-4	-2.096229E-9	1.414951E+2
5.000000E-2	9.213726E-2	9.213726E-2	1.157831E-6	1.422354E+2
1.000000E-1	1.959914E-1	1.959914E-1	2.462901E-6	1.426035E+2
1.500000E-1	3.165325E-1	3.165325E-1	3.977665E-6	1.429707E+2
2.000000E-1	4.562756E-1	4.562756E-1	5.733728E-6	1.433389E+2
2.500000E-1	6.049144E-1	6.049144E-1	7.601579E-6	1.437070E+2
3.000000E-1	7.693100E-1	7.693100E-1	9.667435E-6	1.440742E+2
3.500000E-1	9.881866E-1	9.881866E-1	1.241792E-5	1.451895E+2
4.000000E-1	1.191110E+0	1.191110E+0	1.496793E-5	1.455566E+2
4.500000E-1	1.451446E+0	1.451446E+0	1.823941E-5	1.459248E+2
5.000000E-1	1.768055E+0	1.768055E+0	2.221803E-5	1.462930E+2
5.000000E-1	1.809302E+0	1.809302E+0	2.273636E-5	1.466602E+2
4.500000E-1	1.571707E+0	1.571707E+0	1.975065E-5	1.470283E+2
4.000000E-1	1.338207E+0	1.338207E+0	1.681641E-5	1.473955E+2
3.500000E-1	1.122836E+0	1.122836E+0	1.410997E-5	1.477637E+2
3.000000E-1	9.148457E-1	9.148457E-1	1.149629E-5	1.481318E+2
2.500000E-1	7.282910E-1	7.282910E-1	9.151975E-6	1.488789E+2
2.000000E-1	5.601328E-1	5.601328E-1	7.038836E-6	1.492471E+2
1.500000E-1	4.064438E-1	4.064438E-1	5.107523E-6	1.496143E+2
1.000000E-1	2.616713E-1	2.616713E-1	3.288259E-6	1.499824E+2
5.000000E-2	1.269740E-1	1.269740E-1	1.595602E-6	1.503496E+2
0.000000E+0	1.745829E-4	-1.745829E-4	-2.193874E-9	1.510908E+2
-5.000000E-2	1.216826E-1	-1.216826E-1	-1.529109E-6	1.518320E+2
-1.000000E-1	2.376440E-1	-2.376440E-1	-2.986323E-6	1.522002E+2
-1.500000E-1	3.509196E-1	-3.509196E-1	-4.409786E-6	1.525684E+2
-2.000000E-1	4.591929E-1	-4.591929E-1	-5.770388E-6	1.529355E+2
-2.500000E-1	5.617802E-1	-5.617802E-1	-7.059539E-6	1.533037E+2
-3.000000E-1	6.581834E-1	-6.581834E-1	-8.270977E-6	1.536709E+2
-3.500000E-1	7.449277E-1	-7.449277E-1	-9.361037E-6	1.540391E+2
